timestamp,value
28 APR,70.70181380118811
29 APR,46.92776334071088
30 APR,64.46202213437593
1 MAY,61.07461120464565
2 MAY,67.1098808331561
3 MAY,74.83976526721776
4 MAY,71.76106549682191
5 MAY,60.60901354618292
6 MAY,37.15847191268045
7 MAY,66.41362984868753
8 MAY,69.19660681017436
9 MAY,65.23364028709074
10 MAY,49.27832236705337
11 MAY,42.70114861602625
12 MAY,57.145008897556906
13 MAY,53.582430926870096
14 MAY,26.79163623902746
15 MAY,34.37468262285466
16 MAY,34.5647398047156
17 MAY,92.65834050901236
18 MAY,87.76796345875353
19 MAY,78.94171496528466
20 MAY,73.30404205487976
21 MAY,69.70462855240345
22 MAY,83.10132386206644
23 MAY,72.17282422716403
24 MAY,73.71212239361886
25 MAY,71.58346212825818
26 MAY,55.60677301580837
27 MAY,71.92122605171501